season,episode,voted_out,voted_out_id,vote
39,13,Lauren,US0587,16
40,1,Natalie,US0442,1
40,1,Amber,US0027,2
40,2,Danni,US0166,3
40,3,Ethan,US0048,4
40,4,Tyson,US0274,5
40,5,Boston Rob,US0055,6
40,6,Parvati,US0197,7
40,6,Sandra,US0112,8
40,7,Yul,US0202,9
40,8,Wendell,US0536,10
40,9,Adam,US0498,11
40,10,Tyson,US0274,12
40,11,Sophie,US0353,13
40,12,Kim,US0371,14
40,13,Jeremy,US0433,15
40,13,Nick,US0556,16
40,14,Denise,US0386,17
40,14,Ben,US0516,18
40,14,Sarah,US0414,19
41,1,Abraham,US0591,1
41,1,Sara,US0592,2
41,2,Voce,US0607,3
41,3,Brad,US0602,4
41,4,JD,US0603,5
41,5,Genie,US0595,6
41,7,Sydney,US0605,7
41,8,Tiffany,US0604,8
41,9,Naseer,US0600,9
41,9,Evvie,US0598,10
41,10,Shan,US0606,11
41,11,Liana,US0608,12
41,12,Danny,US0599,13
41,13,Ricard,US0596,14
41,13,Heather,US0593,15
42,1,Zach,US0626,1
42,2,Marya,US0618,2
42,3,Jenny,US0614,3
42,4,Swati,US0624,4
42,5,Daniel,US0610,5
42,7,Lydia,US0617,6
42,8,Chanelle,US0609,7
42,9,Rocksroy,US0622,8
42,9,Tori,US0625,9
42,10,Hai,US0612,10
42,11,Drea,US0611,11
42,12,Omar,US0621,12
42,13,Lindsay,US0616,13
42,13,Jonathan,US0615,14
43,1,Morriah,US0639,1
43,2,Justine,US0635,2
43,3,Nneka,US0640,3
43,4,Lindsay,US0637,4
43,5,Geo,US0631,5
43,6,Elie,US0630,6
43,7,Dwight,US0629,7
43,8,Jeanine,US0633,8
43,9,James,US0632,9
43,9,Ryan,US0643,10
43,10,Noelle,US0641,11
43,11,Sami,US0644,12
43,12,Cody,US0628,13
43,13,Karla,US0636,14
43,13,Jesse,US0634,15
44,1,Maddy,US0649,1
44,2,Helen,US0660,2
44,3,Claire,US0651,3
44,4,Sarah,US0661,4
44,6,Josh,US0655,5
44,7,Matt,US0656,6
44,8,Brandon,US0645,7
44,9,Kane,US0647,8
44,10,Frannie,US0653,9
44,11,Danny,US0652,10
44,12,Jaime,US0646,11
44,13,Lauren,US0648,12
44,13,Carson,US0659,13
45,1,Hannah,US0669,1
45,2,Brandon,US0665,2
45,3,Sabiyah,US0677,3
45,4,Sean,US0678,4
45,5,Brando,US0664,5
45,6,J. Maya,US0670,6
45,7,Sifu,US0679,7
45,7,Kaleb,US0673,8
45,8,Kellie,US0675,9
45,9,Kendra,US0676,10
45,10,Bruce,US0657,11
45,11,Emily,US0668,12
45,12,Drew,US0667,13
45,13,Julie,US0672,14
45,13,Katurah,US0674,15
46,1,Jelinsky,US0683,1
46,2,Jess,US0686,2
46,4,Bhanu,US0681,3
46,5,Jem,US0685,4
46,6,Moriah,US0690,5
46,7,Tim,US0696,6
46,7,Soda,US0693,7
46,8,Tevin,US0694,8
46,9,Hunter,US0684,9
46,10,Tiffany,US0695,10
46,11,Venus,US0697,11
46,12,Q,US0691,12
46,13,Maria,US0689,13
46,13,Liz,US0688,14
