season,season_name,episode,gender,castaway_id,castaway,full_name,acknowledge,ack_score,ack_quote_clean
27,Survivor: Blood vs. Water,12,Female,US0404,Katie,Katie Collins,True,3,Good luck.
27,Survivor: Blood vs. Water,13,Male,US0405,Hayden,Hayden Moss,True,4,See y'all later.
27,Survivor: Blood vs. Water,14,Female,US0406,Ciera,Ciera Eastin,True,3,Bye guys.
28,Survivor: Cagayan,4,Male,US0411,Cliff,Cliff Robinson,True,4,"Good luck, guys."
28,Survivor: Cagayan,6,Female,US0414,Sarah,Sarah Lacina,True,4,"Good luck, guys."
28,Survivor: Cagayan,7,Female,US0415,Morgan,Morgan McLeod,True,4,"Good luck, you guys."
28,Survivor: Cagayan,8,Male,US0416,LJ,LJ McKanas,True,1,"Good luck, guys."
28,Survivor: Cagayan,9,Male,US0417,Jeremiah,Jeremiah Wood,True,4,Inaudible.
28,Survivor: Cagayan,10,Female,US0418,Jefra,Jefra Bland,True,4,"Good luck, guys. It's been fun."
28,Survivor: Cagayan,12,Female,US0420,Trish,Trish Hegarty,True,2,Good luck.
28,Survivor: Cagayan,13,Male,US0421,Spencer,Spencer Bledsoe,True,3,Adios.
29,Survivor: San Juan del Sur,1,Female,US0425,Nadiya,Nadiya Anderson,False,0,.
29,Survivor: San Juan del Sur,8,Male,US0432,Josh,Josh Canfield,True,3,I'll eat a cheeseburger for everybody.
29,Survivor: San Juan del Sur,13,Male,US0437,Jon,Jon Misch,True,3,See ya guys. Good luck.
29,Survivor: San Juan del Sur,14,Female,US0438,Baylor,Baylor Wilson,True,3,Love y'all.
29,Survivor: San Juan del Sur,14,Male,US0439,Keith,Keith Nale,True,2,See y'all.
30,Survivor: Worlds Apart,1,Female,US0443,So,So Kim,True,3,"Good luck, guys."
30,Survivor: Worlds Apart,2,Male,US0444,Vince,Vince Sly,True,2,Good play.
30,Survivor: Worlds Apart,8,Female,US0450,Hali,Hali Ford,True,4,"Love you, america."
30,Survivor: Worlds Apart,9,Male,US0451,Joe,Joe Anglim,True,3,"Hey, love you all. Good luck."
